game_location,game_name,game_season,game_year,discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,country_name,country_3_letter_code
China,Beijing 2022,Winter,2022,Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,ITA
China,Beijing 2022,Winter,2022,Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,ITA
China,Beijing 2022,Winter,2022,Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,NOR
China,Beijing 2022,Winter,2022,Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,NOR
China,Beijing 2022,Winter,2022,Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,SWE
China,Beijing 2022,Winter,2022,Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,SWE
China,Beijing 2022,Winter,2022,Curling,beijing-2022,Women,Women,GOLD,GameTeam,Great Britain,GBR
China,Beijing 2022,Winter,2022,Curling,beijing-2022,Women,Women,SILVER,GameTeam,Japan,JPN
China,Beijing 2022,Winter,2022,Curling,beijing-2022,Women,Women,BRONZE,GameTeam,Sweden,SWE
China,Beijing 2022,Winter,2022,Curling,beijing-2022,Men,Men,GOLD,GameTeam,Sweden,SWE
China,Beijing 2022,Winter,2022,Curling,beijing-2022,Men,Men,SILVER,GameTeam,Great Britain,GBR
China,Beijing 2022,Winter,2022,Curling,beijing-2022,Men,Men,BRONZE,GameTeam,Canada,CAN
China,Beijing 2022,Winter,2022,Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,Canada,CAN
China,Beijing 2022,Winter,2022,Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,Sweden,SWE
China,Beijing 2022,Winter,2022,Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,Japan,JPN
China,Beijing 2022,Winter,2022,Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,New Zealand,NZL
China,Beijing 2022,Winter,2022,Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,USA,USA
China,Beijing 2022,Winter,2022,Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,USA,USA
China,Beijing 2022,Winter,2022,Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,Sweden,SWE
China,Beijing 2022,Winter,2022,Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,Norway,NOR
